А,1300
Б,1780
В,553
Г,1060
Д,812
Е,108
Ё,2
Ж,423
З,674
И,368
Й,4
К,2445
Л,743
М,1367
Н,500
О,845
П,1886
Р,612
С,1912
Т,1062
У,288
Ф,204
Х,299
Ц,245
Ч,735
Ш,291
Щ,162
Э,238
Ю,148
Я,227
R,1
